H(A/m),B(T)
-110.137857935596,-0.635343141422698
-120.137857935596,-0.693361112422698
-130.137857935596,-0.751629725422698
-140.137857935596,-0.809738678422698
-150.137857935596,-0.866767666422698
-160.137857935596,-0.923877771422699
-170.137857935596,-0.980088252422698
-180.137857935596,-1.0309262154227
-190.137857935596,-1.0760471224227
-200.137857935596,-1.1173293784227
-210.137857935596,-1.1526263084227
-220.137857935596,-1.1820794664227
-230.137857935596,-1.2078186124227
-240.137857935596,-1.2285180214227
-250.137857935596,-1.2443153054227
-260.137857935596,-1.2573506104227
-270.137857935596,-1.2674909344227
-280.137857935596,-1.2752257034227
-290.137857935596,-1.2815324864227
-300.137857935596,-1.2863279234227
-310.137857935596,-1.2898922284227
-320.137857935596,-1.2927417484227
-330.137857935596,-1.2949117214227
-340.137857935596,-1.2964738724227
-350.137857935596,-1.2977189164227
-360.137857935596,-1.2990132034227
-370.137857935596,-1.3006451374227
-380.137857935596,-1.3020853164227
-390.137857935596,-1.3026865244227
-400.137857935596,-1.3029220104227
-410.137857935596,-1.3031012674227
-420.137857935596,-1.3033218734227
-430.137857935596,-1.3035465814227
-440.137857935596,-1.3038045054227
-450.137857935596,-1.3041436484227
-460.137857935596,-1.3045390454227
-470.137857935596,-1.3049157214227
-480.137857935596,-1.3052657504227
-490.137857935596,-1.3056451654227
-500.137857935596,-1.3061671304227
-510.137857935596,-1.3067544984227
-520.137857935596,-1.3070603954227
-530.137857935596,-1.3071960684227
-540.137857935596,-1.3073147574227
-550.137857935596,-1.3074483514227
-560.137857935596,-1.3075828834227
-570.137857935596,-1.3077117324227
-580.137857935596,-1.3078473394227
-590.137857935596,-1.3082156204227
-600.137857935596,-1.3090143954227
-610.137857935596,-1.3091362984227
-620.137857935596,-1.3087110884227
-630.137857935596,-1.3086433254227
-640.137857935596,-1.3090805894227
-650.137857935596,-1.3092123294227
-660.137857935596,-1.3092123294227
-670.137857935596,-1.3094429744227
-680.137857935596,-1.3101555544227
-690.137857935596,-1.3110571924227
-700.137857935596,-1.3113843054227
-710.137857935596,-1.3108624424227
-720.137857935596,-1.3105552484227
-730.137857935596,-1.3106044044227
-740.137857935596,-1.3111482454227
-750.137857935596,-1.3114291604227
-760.137857935596,-1.3114323294227
-770.137857935596,-1.3114323294227
-780.137857935596,-1.3115087814227
-790.137857935596,-1.3118972474227
-800.137857935596,-1.3125608984227
-800.137857935596,-1.3125608984227
-790.137857935596,-1.3126258514227
-780.137857935596,-1.3122789004227
-770.137857935596,-1.3120673294227
-760.137857935596,-1.3122399404227
-750.137857935596,-1.3122604674227
-740.137857935596,-1.3119612684227
-730.137857935596,-1.3116927064227
-720.137857935596,-1.3111404754227
-710.137857935596,-1.3117065864227
-700.137857935596,-1.3118765524227
-690.137857935596,-1.3108829714227
-680.137857935596,-1.3109315934227
-670.137857935596,-1.3111107884227
-660.137857935596,-1.3106920664227
-650.137857935596,-1.3104813294227
-640.137857935596,-1.3104813294227
-630.137857935596,-1.3105198884227
-620.137857935596,-1.3107394744227
-610.137857935596,-1.3105898264227
-600.137857935596,-1.3095067484227
-590.137857935596,-1.3092445714227
-580.137857935596,-1.3094356954227
-570.137857935596,-1.3095218044227
-560.137857935596,-1.3092874824227
-550.137857935596,-1.3089202714227
-540.137857935596,-1.3084453644227
-530.137857935596,-1.3079929534227
-520.137857935596,-1.3079433294227
-510.137857935596,-1.3079433294227
-500.137857935596,-1.3079189524227
-490.137857935596,-1.3073154744227
-480.137857935596,-1.3065195614227
-470.137857935596,-1.3061588774227
-460.137857935596,-1.3059430524227
-450.137857935596,-1.3056650794227
-440.137857935596,-1.3051975514227
-430.137857935596,-1.3046715864227
-420.137857935596,-1.3042666654227
-410.137857935596,-1.3039635254227
-400.137857935596,-1.3036084214227
-390.137857935596,-1.3030364544227
-380.137857935596,-1.3022142004227
-370.137857935596,-1.3012602824227
-360.137857935596,-1.3001704624227
-350.137857935596,-1.2988966724227
-340.137857935596,-1.2974868894227
-330.137857935596,-1.2960406744227
-320.137857935596,-1.2943012994227
-310.137857935596,-1.2918411834227
-300.137857935596,-1.2877418534227
-290.137857935596,-1.2822874994227
-280.137857935596,-1.2760581064227
-270.137857935596,-1.2685825654227
-260.137857935596,-1.2592880584227
-250.137857935596,-1.2475216354227
-240.137857935596,-1.2315128514227
-230.137857935596,-1.2115992484227
-220.137857935596,-1.1882015304227
-210.137857935596,-1.1584800194227
-200.137857935596,-1.1231877444227
-190.137857935596,-1.0838640804227
-180.137857935596,-1.0371227784227
-170.137857935596,-0.985399242422698
-160.137857935596,-0.933117877422698
-150.137857935596,-0.879546104422698
-140.137857935596,-0.824245529422698
-130.137857935596,-0.767752886422698
-120.137857935596,-0.709528353422698
-110.137857935596,-0.650057241422698
-100.137857935596,-0.590602044422698
-90.1378579355962,-0.531182196422698
-80.1378579355962,-0.471676795422698
-70.1378579355962,-0.412715758422698
-60.1378579355962,-0.354761647422698
-50.1378579355962,-0.297391033422698
-40.1378579355962,-0.239895730422698
-30.1378579355962,-0.181842704422698
-20.1378579355962,-0.123523820422698
-10.1378579355962,-0.0650329514226983
-0.137857935596179,-0.00637986242269832
9.86214206440382,0.0525153555773017
19.8621420644038,0.111383072577302
29.8621420644038,0.169982959577302
39.8621420644038,0.228430321577302
49.8621420644038,0.286669256577302
59.8621420644038,0.344565599577302
69.8621420644038,0.401912190577302
79.8621420644038,0.459181047577302
89.8621420644038,0.516978290577302
99.8621420644038,0.575570752577302
109.862142064404,0.634485732577302
119.862142064404,0.693159802577302
129.862142064404,0.751988267577302
139.862142064404,0.810587861577302
149.862142064404,0.867636716577302
159.862142064404,0.923726356577302
169.862142064404,0.978635794577302
179.862142064404,1.0291877165773
189.862142064404,1.0748930725773
199.862142064404,1.1173727175773
209.862142064404,1.1536147225773
219.862142064404,1.1829955385773
229.862142064404,1.2084209845773
239.862142064404,1.2288961425773
249.862142064404,1.2446199415773
259.862142064404,1.2576844215773
269.862142064404,1.2677987225773
279.862142064404,1.2751591455773
289.862142064404,1.2810076465773
299.862142064404,1.2856709935773
309.862142064404,1.2894886765773
319.862142064404,1.2926740415773
329.862142064404,1.2952012825773
339.862142064404,1.2972952325773
349.862142064404,1.2990358695773
359.862142064404,1.3001060795773
369.862142064404,1.3006290415773
379.862142064404,1.3010068075773
389.862142064404,1.3014744205773
399.862142064404,1.3020541095773
409.862142064404,1.3026644025773
419.862142064404,1.3032841625773
429.862142064404,1.3039446995773
439.862142064404,1.3044575885773
449.862142064404,1.3047348635773
459.862142064404,1.3049412595773
469.862142064404,1.3052111995773
479.862142064404,1.3055897115773
489.862142064404,1.3059991695773
499.862142064404,1.3063983175773
509.862142064404,1.3067959795773
519.862142064404,1.3071371085773
529.862142064404,1.3074773345773
539.862142064404,1.3076568425773
549.862142064404,1.3076576705773
559.862142064404,1.3076576705773
569.862142064404,1.3079710635773
579.862142064404,1.3087675685773
589.862142064404,1.3088806985773
599.862142064404,1.3086782375773
609.862142064404,1.3086389555773
619.862142064404,1.3089649185773
629.862142064404,1.3094066855773
639.862142064404,1.3100290325773
649.862142064404,1.3101946705773
659.862142064404,1.3101946705773
669.862142064404,1.3101147055773
679.862142064404,1.3098845045773
689.862142064404,1.3103937185773
699.862142064404,1.3108296705773
709.862142064404,1.3108296705773
719.862142064404,1.3108296705773
729.862142064404,1.3110077325773
739.862142064404,1.3117783915773
749.862142064404,1.3114693105773
759.862142064404,1.3123473425773
769.862142064404,1.3114834405773
779.862142064404,1.3120986705773
789.862142064404,1.3125479855773
799.862142064404,1.3124156705773
